Entry_ID;Entrytype;Featuretype
id_00451;entrytype:Toponym;featuretype:Pueblo
id_00452;entrytype:Toponym;featuretype:Pueblo
id_00453;entrytype:Toponym;featuretype:Ciudad
id_00454;entrytype:Toponym;featuretype:Pueblo
id_00455;entrytype:Toponym;featuretype:Rio
id_00456;entrytype:Toponym;featuretype:Rio
id_00457;entrytype:Toponym;featuretype:Pueblo
id_00458;entrytype:Toponym;featuretype:Pueblo
id_00459;entrytype:Toponym;featuretype:Bahía
id_00460;entrytype:Toponym;featuretype:Rio
id_00461;entrytype:Toponym;featuretype:Pueblo
id_00462;entrytype:Toponym;featuretype:Pueblo
id_00463;entrytype:Toponym;featuretype:Pueblo
id_00464;entrytype:Toponym;featuretype:Pueblo
id_00465;entrytype:Toponym;featuretype:Pueblo
id_00466;entrytype:Toponym;featuretype:Pueblo
id_00467;entrytype:Toponym;featuretype:Pueblo
id_00468;entrytype:Toponym;featuretype:Pueblo
id_00469;entrytype:Toponym;featuretype:Pueblo
id_00470;entrytype:Toponym;featuretype:Pueblo
id_00471;entrytype:Toponym;featuretype:Pueblo
id_00472;entrytype:Toponym;featuretype:Pueblo
id_00473;entrytype:Toponym;featuretype:Rio
id_00474;entrytype:Toponym;featuretype:Pueblo
id_00475;entrytype:Toponym;featuretype:Rio
id_00476;entrytype:Toponym;featuretype:Pueblo
id_00477;entrytype:Toponym;featuretype:Pueblo
id_00478;entrytype:Toponym;featuretype:Pueblo
id_00479;entrytype:Toponym;featuretype:Pueblo
id_00480;entrytype:Toponym;featuretype:Pueblo
id_00481;entrytype:Toponym;featuretype:Pueblo
id_00482;entrytype:Toponym;featuretype:Laguna
id_00483;entrytype:Toponym;featuretype:Pueblo
id_00484;entrytype:Toponym;featuretype:Bahía
id_00485;entrytype:Toponym;featuretype:Ciudad
id_00486;entrytype:Toponym;featuretype:Pueblo
id_00487;entrytype:Toponym;featuretype:Pueblo
id_00487;entrytype:Toponym;featuretype:Pueblo
id_00488;entrytype:Toponym;featuretype:Pueblo
id_00489;entrytype:Toponym;featuretype:Pueblo
id_00490;entrytype:Toponym;featuretype:Villa
id_00491;entrytype:Toponym;featuretype:Monte
id_00492;entrytype:Toponym;featuretype:Pueblo
id_00493;entrytype:Toponym;featuretype:Pueblo
id_00494;entrytype:Toponym;featuretype:Pueblo
id_00495;entrytype:Toponym;featuretype:Pueblo
id_00496;entrytype:Toponym;featuretype:Pueblo
id_00497;entrytype:Toponym;featuretype:Farallón
id_00498;entrytype:Toponym;featuretype:Pueblo
id_00499;entrytype:Toponym;featuretype:Pueblo
id_00500;entrytype:Toponym;featuretype:Rio
id_00501;entrytype:Toponym;featuretype:Pueblo
id_00502;entrytype:Toponym;featuretype:Asiento de Minas
id_00503;entrytype:Toponym;featuretype:Rio
id_00504;entrytype:Toponym;featuretype:Pueblo
id_00505;entrytype:Toponym;featuretype:Cordillera
id_00506;entrytype:Toponym;featuretype:Pueblo
id_00507;entrytype:Toponym;featuretype:Rio
id_00508;entrytype:Toponym;featuretype:Pueblo
id_00509;entrytype:Toponym;featuretype:Pueblo
id_00510;entrytype:Demonym;featuretype:Nación
id_00511;entrytype:Toponym;featuretype:Rio
id_00512;entrytype:Toponym;featuretype:Rio
id_00513;entrytype:Toponym;featuretype:Laguna
id_00514;entrytype:Toponym;featuretype:Pueblo
id_00515;entrytype:Toponym;featuretype:Pueblo
id_00516;entrytype:Toponym;featuretype:Pueblo
id_00517;entrytype:Toponym;featuretype:Rio
id_00518;entrytype:Toponym;featuretype:Rio
id_00519;entrytype:Toponym;featuretype:Pueblo
id_00520;entrytype:Toponym;featuretype:Pueblo
id_00521;entrytype:Toponym;featuretype:Rio
id_00522;entrytype:Toponym;featuretype:Estanque
id_00523;entrytype:Toponym;featuretype:Pueblo
id_00524;entrytype:Toponym;featuretype:Pueblo
id_00525;entrytype:Toponym;featuretype:Pueblo
id_00526;entrytype:Toponym;featuretype:Rio
id_00527;entrytype:Toponym;featuretype:Rio
id_00528;entrytype:Demonym;featuretype:Nación
id_00529;entrytype:Toponym;featuretype:Sierra
id_00530;entrytype:Toponym;featuretype:Rio
id_00531;entrytype:Toponym;featuretype:Pueblo
id_00532;entrytype:Toponym;featuretype:Rio
id_00533;entrytype:Toponym;featuretype:Pueblo
id_00534;entrytype:Toponym;featuretype:Rio
id_00535;entrytype:Toponym;featuretype:Rio
id_00536;entrytype:Toponym;featuretype:Isla
id_00537;entrytype:Toponym;featuretype:Isla
id_00538;entrytype:Toponym;featuretype:Rio
id_00539;entrytype:Toponym;featuretype:Pueblo
id_00540;entrytype:Demonym;featuretype:Nación
id_00541;entrytype:Toponym;featuretype:Pueblo
id_00542;entrytype:Toponym;featuretype:Pueblo
id_00543;entrytype:Toponym;featuretype:Pueblo
id_00544;entrytype:Toponym;featuretype:Pueblo
id_00545;entrytype:Toponym;featuretype:Isla
id_00546;entrytype:Toponym;featuretype:Rio
id_00547;entrytype:Toponym;featuretype:Rio
id_00548;entrytype:Toponym;featuretype:Rio
