termID|corresp_entry|volume|Nombre|majortype|featuretype|conf_identity|idno_base|gazetteermatch|Province|region|auto|flag|corresp_concept
TopUrbiTerm28900|id_18601|5|Coral|Term|Animal|-||-|-|-|18900||
TopUrbiTerm28901|id_18602|5|Corita|Term|Produce|-||-|-|-|18901||
TopUrbiTerm28902|id_18603|5|Corozo|Term|Nutriment|-||-|-|-|18902||
TopUrbiTerm28903|id_18604|5|Corpiño|Term|Textiles|-||-|-|-|18903||
TopUrbiTerm28904|id_18605|5|Cotita|Term|Synonym|-||-|-|-|18904||
TopUrbiTerm28905|id_18606|5|Coto|Term|Illness|-||-|-|-|18905||
TopUrbiTerm28906|id_18607|5|Cotopriz|Term|Nutriment|-||-|-|-|18906||
TopUrbiTerm28907|id_18608|5|Coya|Term|Animal|-||-|-|-|18907||
TopUrbiTerm28908|id_18609|5|Coyote|Term|Social|-||-|-|-|18908||
TopUrbiTerm28909|id_18610|5|Crane|Term|Animal|-||-|-|-|18909||
TopUrbiTerm28910|id_18611|5|Crizneja|Term|Produce|-||-|-|-|18910||
TopUrbiTerm28911|id_18612|5|Cucaracha|Term|Animal|-||-|-|-|18911||
TopUrbiTerm28912|id_18613|5|Cucuma|Term|Nutriment|-||-|-|-|18912||
TopUrbiTerm28913|id_18614|5|Cuja|Term|Produce|-||-|-|-|18913||
TopUrbiTerm28914|id_18615|5|Culebrilla|Term|Illness|-||-|-|-|18914||
TopUrbiTerm28915|id_18616|5|Culen|Term|Botany|-||-|-|-|18915||
TopUrbiTerm28916|id_18617|5|Cumbes|Term|Textiles|-||-|-|-|18916||
TopUrbiTerm28917|id_18618|5|Cunaguaro|Term|Animal|-||-|-|-|18917||
TopUrbiTerm28918|id_18619|5|Curbinata|Term|Animal|-||-|-|-|18918||
TopUrbiTerm28920|id_18621|5|Curiquingui|Term|Animal|-||-|-|-|18920||
TopUrbiTerm28921|id_18643|5|Faldellin|Term|Textiles|-||-|-|-|18921||
TopUrbiTerm28922|id_18644|5|Famacosio|Term|Animal|-||-|-|-|18922||
TopUrbiTerm28924|id_18646|5|Figueroa|Term|Botany|-||-|-|-|18924||
TopUrbiTerm28925|id_18647|5|Flibustiers|Term|Social|-||-|-|-|18925||
TopUrbiTerm28926|id_18648|5|Fragata|Term|Animal|-||-|-|-|18926||
TopUrbiTerm28927|id_18649|5|Fraylecillo|Term|Botany|-||-|-|-|18927||
TopUrbiTerm28928|id_18650|5|Fraylejon|Term|Pharmacy|-||-|-|-|18928||
TopUrbiTerm28929|id_18651|5|Fruta de|Term|Nutriment|-||-|-|-|18929||
TopUrbiTerm28930|id_18652|5|Fruta de Pava|Term|Nutriment|-||-|-|-|18930||
TopUrbiTerm28931|id_18653|5|Fustan|Term|Textiles|-||-|-|-|18931||
TopUrbiTerm28932|id_18654|5|Fustete|Term|Botany|-||-|-|-|18932||
TopUrbiTerm28933|id_18655|5|Gacha|Term|Produce|-||-|-|-|18933||
TopUrbiTerm28934|id_18656|5|Gallinaza|Term|Mineralogy|-||-|-|-|18934||
TopUrbiTerm28935|id_18657|5|Gallinazo|Term|Animal|-||-|-|-|18935||
TopUrbiTerm28936|id_18658|5|Gamalota|Term|Botany|-||-|-|-|18936||
TopUrbiTerm28937|id_18659|5|Garua|Term|Climate|-||-|-|-|18937||
TopUrbiTerm28938|id_18660|5|Gegenes|Term|Animal|-||-|-|-|18938||
TopUrbiTerm28939|id_18661|5|Getudo|Term|Animal|-||-|-|-|18939||
TopUrbiTerm28940|id_18662|5|Gicama|Term|Botany|-||-|-|-|18940||
TopUrbiTerm28941|id_18683|5|Guepil|Term|Textiles|-||-|-|-|18941||
TopUrbiTerm28942|id_18684|5|Guineo|Term|Botany|-||-|-|-|18942||
TopUrbiTerm28943|id_18685|5|Habillas|Term|Botany|-||-|-|-|18943||
TopUrbiTerm28944|id_18686|5|Hacana|Term|Botany|-||-|-|-|18944||
TopUrbiTerm28945|id_18687|5|Hacer las|Term|Activity|-||-|-|-|18945||
TopUrbiTerm28946|id_18688|5|Hamaca|Term|Produce|-||-|-|-|18946||
TopUrbiTerm28948|id_18690|5|Hicacos|Term|Nutriment|-||-|-|-|18948||
TopUrbiTerm28949|id_18691|5|Higuerilla|Term|Botany|-||-|-|-|18949||
TopUrbiTerm28950|id_18692|5|Higueron|Term|Botany|-||-|-|-|18950||
TopUrbiTerm28951|id_18693|5|Hilo de Caracol|Term|Textiles|-||-|-|-|18951||
TopUrbiTerm28952|id_18694|5|Huaca|Term|Construction|-||-|-|-|18952||
TopUrbiTerm28953|id_18695|5|Huaipuru|Term|Nutriment|-||-|-|-|18953||
TopUrbiTerm28955|id_18697|5|Huano|Term|Produce|-||-|-|-|18955||
TopUrbiTerm28956|id_18698|5|Huembe|Term|Produce|-||-|-|-|18956||
TopUrbiTerm28957|id_18699|5|Icotea|Term|Animal|-||-|-|-|18957||
TopUrbiTerm28958|id_18700|5|Ichu|Term|Pharmacy|-||-|-|-|18958||
TopUrbiTerm28959|id_18701|5|Iguana|Term|Animal|-||-|-|-|18959||
TopUrbiTerm28960|id_18702|5|Intiyuyu|Term|Animal|-||-|-|-|18960||
TopUrbiTerm28961|id_18703|5|Invernadero|Term|Landmark|-||-|-|-|18961||
TopUrbiTerm28962|id_18704|5|Ipecacuana|Term|Pharmacy|-||-|-|-|18962||
TopUrbiTerm28963|id_18705|5|Itil|Term|Botany|-||-|-|-|18963||
TopUrbiTerm28964|id_18706|5|Jalapa|Term|Botany|-||-|-|-|18964||
TopUrbiTerm28965|id_18707|5|Jenjibre|Term|Botany|-||-|-|-|18965||
TopUrbiTerm28966|id_18708|5|Jeniquen|Term|Pharmacy|-||-|-|-|18966||
TopUrbiTerm28967|id_18709|5|Jicarazo|Term|Activity|-||-|-|-|18967||
TopUrbiTerm28968|id_18710|5|Jobo|Term|Nutriment|-||-|-|-|18968||
TopUrbiTerm28969|id_18711|5|Jugano|Term|Botany|-||-|-|-|18969||
