entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_05667,,San Eduardo,Toponym,landmark,Puerto,New Jersey,unspecified,TopUrbiPlace15814
id_05668,,San Eduardo,Toponym,landmark,Isla,New Jersey,unspecified,TopUrbiPlace15815
id_05669,,Egido,Toponym,settlement,Pueblo,Merida,Nueva Granada,TopUrbiPlace15816
id_05670,,Elajoi,Toponym,settlement,Pueblo de Indios,North Carolina,unspecified,TopUrbiPlace15817
id_05671,,Eland,Toponym,landmark,Rio,North Carolina,unspecified,TopUrbiPlace15818
id_05672,,Elans,Toponym,landmark,Rio,Canada,Nueva Francia,TopUrbiPlace15819
id_05673,,Elato,Toponym,settlement,Pueblo,Guayana,unspecified,TopUrbiPlace15820
id_05674,,Elbun,Toponym,settlement,Pueblo de Indios,Rancagua,Chile,TopUrbiPlace15821
id_05675,,Eldin,Toponym,settlement,Pueblo,Barbados,unspecified,TopUrbiPlace15822
id_05676,,Ele,Toponym,landmark,Rio,unspecified,Nueva Granada,TopUrbiPlace15823
id_05677,,San Eleatario,Toponym,settlement,Pueblo Presidio,Nuevo Mexico,Nuevo México,TopUrbiPlace15824
id_05678,,Elen,Toponym,settlement,Pueblo,Riobamba,Quito,TopUrbiPlace15825
id_05679,,Punta de San Elena,Toponym,territory,Partido,Guayaquil,Quito,TopUrbiPlace15826
id_05681,,San Elena,Toponym,settlement,Pueblo,Pilaya y Paspaya,Perú,TopUrbiPlace15827
id_05682,,San Elena,Toponym,landmark,Isla,Georgia,unspecified,TopUrbiPlace15828
id_05683,,San Elena,Toponym,landmark,Isla,Canada,Nueva Francia,TopUrbiPlace15829
id_05684,,San Elena,Toponym,landmark,Cabo,unspecified,Patagonia,TopUrbiPlace15830
